played_at_utc,played_date_utc,song_name,artist_name,song_duration_ms,song_link,album_art_link,album_name,album_release_date,album_id,artist_id
2022-12-21T15:02:57.112Z,2022-12-21,In and out of love - Beach Club,Dj Andrés,312779,https://open.spotify.com/track/4TMlTyUoYMrJsYEI61RCUG,https://i.scdn.co/image/ab67616d00001e0263e638aa85722ce27327a937,In and out of love (Beach Club),2022-06-26,081Q2WsyY89PTlyJ4vBOwu,43pS0OMyfQBVqILYQJ8fpu
2022-12-21T14:57:43Z,2022-12-21,Nirvana - Steeve West Remix,Aya Nakamura,142857,https://open.spotify.com/track/7ckdWwRicoQ9zxflneYOjp,https://i.scdn.co/image/ab67616d00001e0211c0ee558211e527cd5c0a06,Nirvana (Steeve West Remix),2022-09-20,2TWqqpTOEBvdiL5IPlJUAj,7IlRNXHjoOCgEAWN5qYksg
2022-12-21T14:55:09.246Z,2022-12-21,Good Boy Gone Bad,TOMORROW X TOGETHER,191038,https://open.spotify.com/track/1HsSIPLTQT354yJcQGfEY3,https://i.scdn.co/image/ab67616d00001e0213ac5d67675999ba7b9c4f21,minisode 2: Thursday's Child,2022-05-09,1o8jYrnyZueTPIdhlHuTc8,0ghlgldX5Dd6720Q3qFyQB
2022-12-21T14:54:28.211Z,2022-12-21,Good Boy Gone Bad,TOMORROW X TOGETHER,191038,https://open.spotify.com/track/1HsSIPLTQT354yJcQGfEY3,https://i.scdn.co/image/ab67616d00001e0213ac5d67675999ba7b9c4f21,minisode 2: Thursday's Child,2022-05-09,1o8jYrnyZueTPIdhlHuTc8,0ghlgldX5Dd6720Q3qFyQB
2022-12-21T14:54:21.275Z,2022-12-21,Kimi to Hitsuji to Ao,RADWIMPS,162280,https://open.spotify.com/track/2qz2iNaqKDJesD2ombEIsi,https://i.scdn.co/image/ab67616d00001e02c0c53dcf5bb71d127b8eab7f,Zettaizetsumei,2011-03-09,3b3tyPWcSOYy5SFC0bCUWP,1EowJ1WwkMzkCkRomFhui7
2022-12-21T14:32:03.401Z,2022-12-21,Night into the sky,AFTERSCHOOL RED,198243,https://open.spotify.com/track/6UqWoZqgsfbzLkYbn9vL2E,https://i.scdn.co/image/ab67616d00001e0201fd5a3b6968b446df481915,THE 4TH SINGLE ALBUM-RED,2011-07-20,3HTY4W12nkuLA06l2w3b9e,3YUtIXyGE3p0Y4UPc3hyrf
2022-12-21T14:28:19.956Z,2022-12-21,SUN,CHANMINA,192600,https://open.spotify.com/track/5lmIUH7tyTogDEgEIv6n0w,https://i.scdn.co/image/ab67616d00001e02b6274d484c9ea468882ada0d,Harenchi,2021-10-13,1q9RWaiqhyFz8tYrl57w98,2vjeuQwzSP5ErC1S41gONX
2022-12-21T14:25:07.442Z,2022-12-21,ATHLETIC GIRL,H1-KEY,212613,https://open.spotify.com/track/0qu54GVbhmBFjpsgiG32PL,https://i.scdn.co/image/ab67616d00001e02ef05154fa2b15bac2e806dde,ATHLETIC GIRL,2022-01-05,3Weg79SFmoXNRUSn08QSPZ,5GwQwY63I9hrUUFlQB8FYU
2022-12-21T14:20:58.401Z,2022-12-21,Firework,CHANMINA,196163,https://open.spotify.com/track/7quF3X731mQQ67KDVNnYqX,https://i.scdn.co/image/ab67616d00001e02b6274d484c9ea468882ada0d,Harenchi,2021-10-13,1q9RWaiqhyFz8tYrl57w98,2vjeuQwzSP5ErC1S41gONX
2022-12-21T14:17:42.257Z,2022-12-21,Parade,Younha,193818,https://open.spotify.com/track/0u2RxRjpM4rMvojoNqZHH0,https://i.scdn.co/image/ab67616d00001e02d87083079a0cbd66390f4a92,RescuE,2017-12-27,32n91KG3YeLMLJ9e64EfXy,6GwM5CHqhWXzG3l5kzRSAS
